iter	Passed	Remaining
218	2883	10284
219	2895	10265
220	2906	10246
221	2919	10230
222	2932	10216
223	2944	10200
224	2956	10182
225	2969	10170
226	2981	10152
227	2994	10137
228	3005	10118
229	3017	10101
230	3030	10087
231	3043	10073
232	3054	10054
233	3067	10040
234	3080	10029
235	3092	10011
236	3103	9991
237	3115	9975
238	3128	9960
239	3140	9943
240	3151	9925
241	3163	9910
242	3177	9898
243	3189	9883
244	3201	9864
245	3213	9848
246	3224	9831
247	3236	9814
248	3250	9803
249	3263	9789
250	3275	9774
251	3287	9758
252	3299	9742
253	3311	9726
254	3323	9709
255	3336	9697
256	3348	9681
257	3361	9667
258	3372	9650
259	3384	9633
260	3397	9620
261	3410	9605
262	3421	9588
263	3432	9570
264	3444	9554
265	3457	9541
266	3470	9526
267	3482	9511
268	3495	9498
269	3508	9486
270	3522	9476
271	3535	9461
272	3547	9446
273	3560	9433
274	3572	9419
275	3584	9402
276	3595	9385
277	3608	9372
278	3620	9357
279	3633	9343
280	3646	9331
281	3658	9315
282	3671	9301
283	3682	9284
284	3694	9267
285	3707	9254
286	3719	9241
287	3731	9224
288	3743	9209
289	3755	9193
290	3768	9182
291	3782	9171
292	3793	9154
293	3806	9141
294	3819	9126
295	3830	9111
296	3843	9097
297	3855	9082
298	3867	9066
299	3878	9048
300	3889	9032
301	3902	9018
302	3914	9004
303	3926	8988
304	3937	8973
305	3950	8960
306	3962	8945
307	3975	8931
308	3987	8916
309	3999	8902
310	4012	8888
311	4023	8872
312	4050	8890
313	4062	8875
314	4074	8859
315	4086	8844
316	4098	8830
317	4110	8815
318	4123	8802
319	4135	8787
320	4147	8772
321	4160	8759
322	4172	8746
323	4185	8733
324	4198	8719
325	4210	8704
326	4221	8688
327	4234	8675
328	4247	8662
329	4259	8647
330	4270	8631
331	4282	8616
332	4294	8601
333	4307	8589
334	4319	8574
335	4331	8559
336	4344	8547
337	4357	8534
338	4370	8521
339	4382	8506
340	4394	8491
341	4406	8477
342	4418	8463
343	4431	8451
344	4447	8443
345	4460	8431
346	4472	8416
347	4484	8401
348	4496	8388
349	4510	8376
350	4522	8361
351	4533	8346
352	4547	8334
353	4560	8322
354	4573	8309
355	4584	8292
356	4596	8279
357	4609	8265
358	4621	8250
359	4632	8236
360	4645	8223
361	4659	8211
362	4670	8195
363	4682	8181
364	4694	8166
365	4707	8154
366	4718	8138
367	4730	8123
368	4741	8108
369	4753	8093
370	4764	8078
371	4777	8064
372	4790	8053
373	4804	8041
374	4816	8027
375	4829	8014
376	4844	8006
377	4857	7992
378	4870	7980
379	4882	7966
380	4894	7952
381	4906	7938
382	4919	7924
383	4932	7912
384	4944	7899
385	4957	7885
386	4970	7873
387	4984	7861
388	4996	7848
389	5008	7834
390	5021	7821
391	5033	7806
392	5045	7792
393	5057	7778
394	5070	7766
395	5083	7753
396	5095	7739
397	5107	7725
398	5120	7712
399	5132	7698
400	5146	7688
401	5161	7677
402	5173	7663
403	5185	7649
404	5196	7634
405	5208	7620
406	5221	7607
